Source	Target	Type	Weight
428	426	Directed	1
19	429	Directed	1
430	429	Directed	1
432	431	Directed	1
433	431	Directed	1
88	431	Directed	1
435	434	Directed	1
436	434	Directed	1
8	437	Directed	1
316	437	Directed	1
47	438	Directed	1
213	438	Directed	1
137	439	Directed	1
440	439	Directed	1
442	441	Directed	1
443	441	Directed	1
8	444	Directed	1
445	444	Directed	1
8	446	Directed	1
447	446	Directed	1
432	448	Directed	1
449	448	Directed	1
8	450	Directed	1
451	450	Directed	1
453	452	Directed	1
360	452	Directed	1
34	454	Directed	1
305	454	Directed	1
456	455	Directed	1
457	455	Directed	1
8	458	Directed	1
459	458	Directed	1
252	460	Directed	1
461	460	Directed	1
462	460	Directed	1
137	463	Directed	1
464	463	Directed	1
8	465	Directed	1
466	465	Directed	1
8	467	Directed	1
468	467	Directed	1
470	469	Directed	1
148	469	Directed	1
8	471	Directed	1
472	471	Directed	1
8	474	Directed	1
475	474	Directed	1
477	476	Directed	1
478	476	Directed	1
22	479	Directed	1
113	479	Directed	1
481	480	Directed	1
482	480	Directed	1
484	483	Directed	1
485	483	Directed	1
8	486	Directed	1
487	486	Directed	1
489	488	Directed	1
490	488	Directed	1
221	491	Directed	1
62	491	Directed	1
493	492	Directed	1
494	492	Directed	1
22	495	Directed	1
496	495	Directed	1
144	497	Directed	1
498	497	Directed	1
8	499	Directed	1
500	499	Directed	1
502	501	Directed	1
409	501	Directed	1
8	503	Directed	1
504	503	Directed	1
22	505	Directed	1
404	505	Directed	1
507	506	Directed	1
82	506	Directed	1
19	508	Directed	1
256	508	Directed	1
295	509	Directed	1
510	509	Directed	1
512	511	Directed	1
513	511	Directed	1
515	514	Directed	1
516	514	Directed	1
517	514	Directed	1
22	518	Directed	1
176	518	Directed	1
520	519	Directed	1
521	519	Directed	1
523	522	Directed	1
524	522	Directed	1
276	525	Directed	1
526	525	Directed	1
19	527	Directed	1
164	527	Directed	1
187	528	Directed	1
291	528	Directed	1
530	529	Directed	1
531	529	Directed	1
533	532	Directed	1
409	532	Directed	1
22	534	Directed	1
170	534	Directed	1
536	535	Directed	1
330	535	Directed	1
538	537	Directed	1
539	537	Directed	1
538	540	Directed	1
541	540	Directed	1
543	542	Directed	1
544	542	Directed	1
546	545	Directed	1
547	545	Directed	1
549	548	Directed	1
550	548	Directed	1
82	552	Directed	1
553	552	Directed	1
82	554	Directed	1
555	554	Directed	1
34	556	Directed	1
557	556	Directed	1
144	558	Directed	1
559	558	Directed	1
295	560	Directed	1
561	560	Directed	1
283	562	Directed	1
563	562	Directed	1
295	564	Directed	1
565	564	Directed	1
22	566	Directed	1
190	566	Directed	1
568	567	Directed	1
127	567	Directed	1
484	569	Directed	1
42	569	Directed	1
571	570	Directed	1
391	570	Directed	1
295	572	Directed	1
573	572	Directed	1
64	574	Directed	1
575	574	Directed	1
577	576	Directed	1
578	576	Directed	1
31	579	Directed	1
580	579	Directed	1
582	581	Directed	1
583	581	Directed	1
8	584	Directed	1
585	584	Directed	1
302	586	Directed	1
587	586	Directed	1
582	588	Directed	1
589	588	Directed	1
425	590	Directed	1
591	590	Directed	1
484	592	Directed	1
593	592	Directed	1
295	594	Directed	1
595	594	Directed	1
19	596	Directed	1
597	596	Directed	1
599	598	Directed	1
600	598	Directed	1
238	601	Directed	1
602	601	Directed	1
302	603	Directed	1
604	603	Directed	1
193	605	Directed	1
606	605	Directed	1
607	605	Directed	1
8	608	Directed	1
62	608	Directed	1
8	609	Directed	1
610	609	Directed	1
8	611	Directed	1
612	611	Directed	1
144	613	Directed	1
614	613	Directed	1
295	615	Directed	1
616	615	Directed	1
618	617	Directed	1
60	617	Directed	1
19	619	Directed	1
37	619	Directed	1
621	620	Directed	1
2	620	Directed	1
238	622	Directed	1
623	622	Directed	1
283	624	Directed	1
625	624	Directed	1
273	626	Directed	1
627	626	Directed	1
530	628	Directed	1
629	628	Directed	1
631	630	Directed	1
632	630	Directed	1
295	633	Directed	1
634	633	Directed	1
19	635	Directed	1
45	635	Directed	1
370	636	Directed	1
637	636	Directed	1
638	636	Directed	1
295	639	Directed	1
115	639	Directed	1
134	640	Directed	1
641	640	Directed	1
295	642	Directed	1
643	642	Directed	1
19	644	Directed	1
50	644	Directed	1
582	645	Directed	1
646	645	Directed	1
544	645	Directed	1
295	647	Directed	1
362	647	Directed	1
134	648	Directed	1
649	648	Directed	1
651	650	Directed	1
652	650	Directed	1
295	653	Directed	1
654	653	Directed	1
39	655	Directed	1
656	655	Directed	1
295	657	Directed	1
658	657	Directed	1
660	659	Directed	1
661	659	Directed	1
663	662	Directed	1
664	662	Directed	1
134	665	Directed	1
666	665	Directed	1
273	667	Directed	1
668	667	Directed	1
670	669	Directed	1
671	669	Directed	1
672	669	Directed	1
134	674	Directed	1
675	674	Directed	1
677	676	Directed	1
678	676	Directed	1
680	679	Directed	1
681	679	Directed	1
295	683	Directed	1
684	683	Directed	1
568	685	Directed	1
686	685	Directed	1
688	687	Directed	1
689	687	Directed	1
691	690	Directed	1
235	690	Directed	1
691	690	Directed	1
582	692	Directed	1
693	692	Directed	1
134	694	Directed	1
695	694	Directed	1
697	696	Directed	1
60	696	Directed	1
295	698	Directed	1
339	698	Directed	1
295	699	Directed	1
700	699	Directed	1
702	701	Directed	1
702	701	Directed	1
138	703	Directed	1
704	703	Directed	1
706	705	Directed	1
707	705	Directed	1
381	705	Directed	1
709	708	Directed	1
710	708	Directed	1
530	711	Directed	1
712	711	Directed	1
8	713	Directed	1
305	713	Directed	1
221	714	Directed	1
715	714	Directed	1
577	716	Directed	1
688	716	Directed	1
295	717	Directed	1
718	717	Directed	1
295	719	Directed	1
72	719	Directed	1
27	721	Directed	1
681	721	Directed	1
723	722	Directed	1
181	722	Directed	1
4	724	Directed	1
725	724	Directed	1
19	726	Directed	1
727	726	Directed	1
134	728	Directed	1
729	728	Directed	1
134	730	Directed	1
731	730	Directed	1
538	732	Directed	1
733	732	Directed	1
8	734	Directed	1
735	734	Directed	1
31	736	Directed	1
737	736	Directed	1
740	739	Directed	1
27	739	Directed	1
267	739	Directed	1
742	741	Directed	1
591	741	Directed	1
530	743	Directed	1
207	743	Directed	1
39	744	Directed	1
745	744	Directed	1
8	746	Directed	1
747	746	Directed	1
295	748	Directed	1
749	748	Directed	1
295	750	Directed	1
751	750	Directed	1
47	752	Directed	1
753	752	Directed	1
538	754	Directed	1
755	754	Directed	1
295	756	Directed	1
757	756	Directed	1
71	758	Directed	1
416	758	Directed	1
238	759	Directed	1
760	759	Directed	1
39	761	Directed	1
762	761	Directed	1
530	763	Directed	1
764	763	Directed	1
22	765	Directed	1
766	765	Directed	1
295	767	Directed	1
768	767	Directed	1
568	769	Directed	1
770	769	Directed	1
568	771	Directed	1
772	771	Directed	1
582	773	Directed	1
360	773	Directed	1
144	774	Directed	1
775	774	Directed	1
582	776	Directed	1
777	776	Directed	1
582	778	Directed	1
779	778	Directed	1
19	780	Directed	1
190	780	Directed	1
295	781	Directed	1
782	781	Directed	1
512	783	Directed	1
784	783	Directed	1
295	785	Directed	1
786	785	Directed	1
582	787	Directed	1
788	787	Directed	1
568	789	Directed	1
517	789	Directed	1
582	790	Directed	1
791	790	Directed	1
568	792	Directed	1
793	792	Directed	1
295	794	Directed	1
795	794	Directed	1
134	796	Directed	1
797	796	Directed	1
582	798	Directed	1
799	798	Directed	1
801	800	Directed	1
377	800	Directed	1
295	802	Directed	1
803	802	Directed	1
31	805	Directed	1
235	805	Directed	1
544	805	Directed	1
582	806	Directed	1
807	806	Directed	1
39	808	Directed	1
809	808	Directed	1
31	810	Directed	1
811	810	Directed	1
295	812	Directed	1
813	812	Directed	1
815	814	Directed	1
816	814	Directed	1
582	817	Directed	1
271	817	Directed	1
355	818	Directed	1
819	818	Directed	1
39	820	Directed	1
821	820	Directed	1
577	822	Directed	1
823	822	Directed	1
134	824	Directed	1
825	824	Directed	1
577	826	Directed	1
827	826	Directed	1
302	828	Directed	1
829	828	Directed	1
34	830	Directed	1
715	830	Directed	1
22	831	Directed	1
466	831	Directed	1
34	832	Directed	1
833	832	Directed	1
835	834	Directed	1
360	834	Directed	1
8	836	Directed	1
837	836	Directed	1
477	838	Directed	1
689	838	Directed	1
8	839	Directed	1
324	839	Directed	1
841	840	Directed	1
842	840	Directed	1
22	843	Directed	1
468	843	Directed	1
845	844	Directed	1
846	844	Directed	1
848	847	Directed	1
849	847	Directed	1
1	850	Directed	1
295	850	Directed	1
134	851	Directed	1
852	851	Directed	1
8	853	Directed	1
366	853	Directed	1
39	854	Directed	1
39	854	Directed	1
2	855	Directed	1
856	855	Directed	1
568	857	Directed	1
858	857	Directed	1
252	859	Directed	1
253	859	Directed	1
860	859	Directed	1
568	861	Directed	1
862	861	Directed	1
39	863	Directed	1
864	863	Directed	1
31	865	Directed	1
866	865	Directed	1
121	867	Directed	1
868	867	Directed	1
134	869	Directed	1
870	869	Directed	1
238	871	Directed	1
872	871	Directed	1
874	873	Directed	1
445	873	Directed	1
680	875	Directed	1
295	875	Directed	1
31	876	Directed	1
877	876	Directed	1
879	878	Directed	1
577	878	Directed	1
680	880	Directed	1
881	880	Directed	1
71	882	Directed	1
80	882	Directed	1
295	883	Directed	1
755	883	Directed	1
885	884	Directed	1
886	884	Directed	1
302	887	Directed	1
888	887	Directed	1
144	889	Directed	1
890	889	Directed	1
892	891	Directed	1
893	891	Directed	1
134	894	Directed	1
895	894	Directed	1
39	896	Directed	1
120	896	Directed	1
8	897	Directed	1
766	897	Directed	1
233	898	Directed	1
591	898	Directed	1
295	899	Directed	1
148	899	Directed	1
134	900	Directed	1
901	900	Directed	1
295	902	Directed	1
526	902	Directed	1
144	903	Directed	1
904	903	Directed	1
276	905	Directed	1
256	905	Directed	1
4	906	Directed	1
193	906	Directed	1
134	907	Directed	1
908	907	Directed	1
97	909	Directed	1
121	909	Directed	1
8	910	Directed	1
727	910	Directed	1
912	911	Directed	1
913	911	Directed	1
134	914	Directed	1
48	914	Directed	1
121	915	Directed	1
358	915	Directed	1
917	916	Directed	1
627	916	Directed	1
631	918	Directed	1
842	918	Directed	1
22	919	Directed	1
45	919	Directed	1
82	920	Directed	1
921	920	Directed	1
137	922	Directed	1
923	922	Directed	1
249	924	Directed	1
925	924	Directed	1
22	926	Directed	1
82	926	Directed	1
221	927	Directed	1
928	927	Directed	1
930	929	Directed	1
2	929	Directed	1
568	931	Directed	1
932	931	Directed	1
302	933	Directed	1
934	933	Directed	1
22	935	Directed	1
69	935	Directed	1
238	936	Directed	1
937	936	Directed	1
221	938	Directed	1
939	938	Directed	1
129	940	Directed	1
941	940	Directed	1
19	942	Directed	1
416	942	Directed	1
568	944	Directed	1
98	944	Directed	1
568	945	Directed	1
946	945	Directed	1
948	947	Directed	1
526	947	Directed	1
568	949	Directed	1
25	949	Directed	1
8	950	Directed	1
951	950	Directed	1
137	952	Directed	1
953	952	Directed	1
538	954	Directed	1
955	954	Directed	1
957	956	Directed	1
958	956	Directed	1
960	959	Directed	1
961	959	Directed	1
47	962	Directed	1
963	962	Directed	1
295	964	Directed	1
965	964	Directed	1
19	966	Directed	1
459	966	Directed	1
968	967	Directed	1
60	967	Directed	1
19	969	Directed	1
466	969	Directed	1
8	970	Directed	1
557	970	Directed	1
276	971	Directed	1
972	971	Directed	1
848	973	Directed	1
974	973	Directed	1
47	975	Directed	1
976	975	Directed	1
489	977	Directed	1
978	977	Directed	1
8	979	Directed	1
980	979	Directed	1
2	981	Directed	1
982	981	Directed	1
531	983	Directed	1
984	983	Directed	1
670	985	Directed	1
267	985	Directed	1
513	985	Directed	1
348	986	Directed	1
219	986	Directed	1
238	987	Directed	1
988	987	Directed	1
568	989	Directed	1
990	989	Directed	1
8	991	Directed	1
298	991	Directed	1
885	992	Directed	1
923	992	Directed	1
348	993	Directed	1
196	993	Directed	1
2	994	Directed	1
995	994	Directed	1
137	996	Directed	1
997	996	Directed	1
999	998	Directed	1
267	998	Directed	1
1000	998	Directed	1
22	1001	Directed	1
416	1001	Directed	1
230	1002	Directed	1
1003	1002	Directed	1
238	1004	Directed	1
1005	1004	Directed	1
238	1006	Directed	1
1007	1006	Directed	1
134	1008	Directed	1
152	1008	Directed	1
1010	1009	Directed	1
680	1009	Directed	1
568	1011	Directed	1
1012	1011	Directed	1
295	1013	Directed	1
1014	1013	Directed	1
8	1015	Directed	1
334	1015	Directed	1
477	1016	Directed	1
1017	1016	Directed	1
22	1018	Directed	1
447	1018	Directed	1
34	1019	Directed	1
1020	1019	Directed	1
1022	1021	Directed	1
1023	1021	Directed	1
22	1024	Directed	1
445	1024	Directed	1
568	1025	Directed	1
1026	1025	Directed	1
34	1027	Directed	1
1028	1027	Directed	1
82	1029	Directed	1
1030	1029	Directed	1
538	1031	Directed	1
170	1031	Directed	1
1033	1032	Directed	1
1034	1032	Directed	1
8	1035	Directed	1
1036	1035	Directed	1
1038	1037	Directed	1
1039	1037	Directed	1
273	1040	Directed	1
1041	1040	Directed	1
39	1042	Directed	1
1043	1042	Directed	1
283	1044	Directed	1
1045	1044	Directed	1
71	1047	Directed	1
324	1047	Directed	1
273	1048	Directed	1
1049	1048	Directed	1
273	1050	Directed	1
1051	1050	Directed	1
538	1052	Directed	1
1053	1052	Directed	1
1055	1054	Directed	1
233	1054	Directed	1
1057	1056	Directed	1
1058	1056	Directed	1
631	1059	Directed	1
1060	1059	Directed	1
1062	1061	Directed	1
60	1061	Directed	1
568	1063	Directed	1
1064	1063	Directed	1
355	1065	Directed	1
1066	1065	Directed	1
1068	1067	Directed	1
1069	1067	Directed	1
1071	1070	Directed	1
1072	1070	Directed	1
660	1073	Directed	1
148	1073	Directed	1
1075	1074	Directed	1
1076	1074	Directed	1
538	1077	Directed	1
256	1077	Directed	1
538	1078	Directed	1
1079	1078	Directed	1
164	1080	Directed	1
1081	1080	Directed	1
1057	1082	Directed	1
1083	1082	Directed	1
568	1084	Directed	1
1085	1084	Directed	1
538	1086	Directed	1
293	1086	Directed	1
324	1087	Directed	1
961	1087	Directed	1
538	1088	Directed	1
94	1088	Directed	1
31	1089	Directed	1
1090	1089	Directed	1
489	1091	Directed	1
1092	1091	Directed	1
249	1093	Directed	1
1094	1093	Directed	1
134	1095	Directed	1
1096	1095	Directed	1
568	1097	Directed	1
1098	1097	Directed	1
1100	1099	Directed	1
1101	1099	Directed	1
219	1102	Directed	1
591	1102	Directed	1
252	1103	Directed	1
267	1103	Directed	1
1104	1103	Directed	1
568	1105	Directed	1
1106	1105	Directed	1
538	1107	Directed	1
1108	1107	Directed	1
1110	1109	Directed	1
1111	1109	Directed	1
134	1112	Directed	1
1113	1112	Directed	1
1115	1114	Directed	1
1116	1114	Directed	1
19	1117	Directed	1
1118	1117	Directed	1
1120	1119	Directed	1
309	1119	Directed	1
1122	1121	Directed	1
1123	1121	Directed	1
1125	1124	Directed	1
1126	1124	Directed	1
4	1127	Directed	1
1128	1127	Directed	1
137	1129	Directed	1
1072	1129	Directed	1
295	1130	Directed	1
337	1130	Directed	1
82	1131	Directed	1
1132	1131	Directed	1
273	1133	Directed	1
1134	1133	Directed	1
134	1135	Directed	1
1136	1135	Directed	1
82	1137	Directed	1
1138	1137	Directed	1
348	1139	Directed	1
316	1139	Directed	1
1141	1140	Directed	1
1142	1140	Directed	1
577	1143	Directed	1
1144	1143	Directed	1
428	1145	Directed	1
494	1145	Directed	1
568	1146	Directed	1
1147	1146	Directed	1
134	1148	Directed	1
1149	1148	Directed	1
295	1150	Directed	1
29	1150	Directed	1
295	1151	Directed	1
1152	1151	Directed	1
680	1153	Directed	1
1154	1153	Directed	1
31	1155	Directed	1
1156	1155	Directed	1
295	1157	Directed	1
1158	1157	Directed	1
1160	1159	Directed	1
681	1159	Directed	1
2	1161	Directed	1
1162	1161	Directed	1
31	1163	Directed	1
1164	1163	Directed	1
144	1165	Directed	1
1166	1165	Directed	1
295	1167	Directed	1
1168	1167	Directed	1
144	1169	Directed	1
1170	1169	Directed	1
2	1171	Directed	1
1172	1171	Directed	1
249	1173	Directed	1
1174	1173	Directed	1
8	1175	Directed	1
1176	1175	Directed	1
380	1177	Directed	1
1178	1177	Directed	1
538	1179	Directed	1
972	1179	Directed	1
2	1180	Directed	1
1181	1180	Directed	1
489	1182	Directed	1
1183	1182	Directed	1
148	1182	Directed	1
31	1184	Directed	1
196	1184	Directed	1
2	1185	Directed	1
1186	1185	Directed	1
568	1187	Directed	1
1188	1187	Directed	1
34	1189	Directed	1
1190	1189	Directed	1
137	1191	Directed	1
577	1191	Directed	1
31	1193	Directed	1
108	1193	Directed	1
31	1194	Directed	1
235	1194	Directed	1
1195	1194	Directed	1
31	1196	Directed	1
1197	1196	Directed	1
2	1198	Directed	1
1199	1198	Directed	1
238	1200	Directed	1
1144	1200	Directed	1
538	1201	Directed	1
80	1201	Directed	1
489	1202	Directed	1
680	1202	Directed	1
22	1203	Directed	1
157	1203	Directed	1
52	1204	Directed	1
1205	1204	Directed	1
348	1206	Directed	1
1207	1206	Directed	1
2	1208	Directed	1
1209	1208	Directed	1
31	1210	Directed	1
233	1210	Directed	1
538	1211	Directed	1
1212	1211	Directed	1
31	1213	Directed	1
1214	1213	Directed	1
8	1215	Directed	1
715	1215	Directed	1
137	1216	Directed	1
1217	1216	Directed	1
602	1218	Directed	1
368	1218	Directed	1
295	1219	Directed	1
217	1219	Directed	1
273	1220	Directed	1
1221	1220	Directed	1
538	1222	Directed	1
113	1222	Directed	1
538	1223	Directed	1
1224	1223	Directed	1
1226	1225	Directed	1
500	1225	Directed	1
295	1227	Directed	1
228	1227	Directed	1
660	1228	Directed	1
786	1228	Directed	1
39	1229	Directed	1
1230	1229	Directed	1
660	1231	Directed	1
782	1231	Directed	1
207	1232	Directed	1
391	1232	Directed	1
538	1233	Directed	1
404	1233	Directed	1
706	1234	Directed	1
1235	1234	Directed	1
8	1236	Directed	1
939	1236	Directed	1
578	1237	Directed	1
1238	1237	Directed	1
1240	1239	Directed	1
1241	1239	Directed	1
39	1242	Directed	1
1243	1242	Directed	1
1245	1244	Directed	1
1246	1244	Directed	1
489	1247	Directed	1
353	1247	Directed	1
1249	1248	Directed	1
1250	1248	Directed	1
1252	1251	Directed	1
1253	1251	Directed	1
19	1254	Directed	1
334	1254	Directed	1
1022	1255	Directed	1
1256	1255	Directed	1
1257	1255	Directed	1
2	1258	Directed	1
1259	1258	Directed	1
295	1260	Directed	1
170	1260	Directed	1
302	1261	Directed	1
1262	1261	Directed	1
2	1263	Directed	1
1264	1263	Directed	1
22	1265	Directed	1
1266	1265	Directed	1
2	1267	Directed	1
1268	1267	Directed	1
2	1269	Directed	1
1270	1269	Directed	1
538	1271	Directed	1
1272	1271	Directed	1
295	1273	Directed	1
430	1273	Directed	1
1275	1274	Directed	1
1276	1274	Directed	1
134	1277	Directed	1
1278	1277	Directed	1
295	1279	Directed	1
1280	1279	Directed	1
1283	1282	Directed	1
1284	1282	Directed	1
39	1285	Directed	1
1286	1285	Directed	1
295	1287	Directed	1
176	1287	Directed	1
19	1288	Directed	1
324	1288	Directed	1
39	1289	Directed	1
1290	1289	Directed	1
848	1291	Directed	1
1292	1291	Directed	1
1294	1293	Directed	1
591	1293	Directed	1
1057	1295	Directed	1
1296	1295	Directed	1
1298	1297	Directed	1
185	1297	Directed	1
1300	1299	Directed	1
1301	1299	Directed	1
1303	1302	Directed	1
1304	1302	Directed	1
276	1305	Directed	1
316	1305	Directed	1
295	1306	Directed	1
496	1306	Directed	1
31	1307	Directed	1
1308	1307	Directed	1
1310	1309	Directed	1
1311	1309	Directed	1
295	1312	Directed	1
404	1312	Directed	1
418	1313	Directed	1
1314	1313	Directed	1
302	1315	Directed	1
1316	1315	Directed	1
302	1317	Directed	1
1126	1317	Directed	1
267	1318	Directed	1
1319	1318	Directed	1
22	1320	Directed	1
298	1320	Directed	1
295	1321	Directed	1
113	1321	Directed	1
1323	1322	Directed	1
886	1322	Directed	1
1303	1324	Directed	1
1325	1324	Directed	1
968	1326	Directed	1
1327	1326	Directed	1
1329	1328	Directed	1
409	1328	Directed	1
129	1330	Directed	1
1331	1330	Directed	1
295	1332	Directed	1
1224	1332	Directed	1
8	1333	Directed	1
1334	1333	Directed	1
1336	1335	Directed	1
1337	1335	Directed	1
568	1338	Directed	1
1339	1338	Directed	1
568	1340	Directed	1
1341	1340	Directed	1
71	1342	Directed	1
50	1342	Directed	1
302	1343	Directed	1
1344	1343	Directed	1
22	1345	Directed	1
334	1345	Directed	1
82	1346	Directed	1
1347	1346	Directed	1
489	1348	Directed	1
1094	1348	Directed	1
276	1349	Directed	1
445	1349	Directed	1
295	1350	Directed	1
80	1350	Directed	1
